,species_id,Species,taxon_order,taxon_family,taxon_genus,taxon_species,atga,autx,chil,deco,edal,foco,inin,ioio,maks,mela,naca,phaz,rony,safl,scut,sewa,sfba,slmo,tawa,wide,city_occ,species_code,binomial,mass,mass_g_std,logmass,logmass.std,carn,carn.std,name_common
24,24,north_american_mink,Carnivora,Mustelidae,Neovison,vison,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,14,NEVI,Neovison vison,1150,-0.357702843,3.06069784,-0.397885501,0.9,1.865696043,Mink
25,25,north_american_porcupine,Rodentia,Erethizontidae,Erethizon,dorsatum,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,10,ERDO,Erethizon dorsatum,7085.33,-0.266562496,3.850360082,0.431662948,0,-0.719366852,Porcupine
26,26,raccoon,Carnivora,Procyonidae,Procyon,lotor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,PRLO,Procyon lotor,5524.97,-0.290522706,3.742329924,0.318176136,0.2,-0.144908431,Raccoon
27,27,red_fox,Carnivora,Canidae,Vulpes,vulpes,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19,VUVU,Vulpes vulpes,5476.17,-0.291272057,3.738476922,0.314128517,0.7,1.291237622,Red fox
28,28,red_squirrel,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,10,TAHU,Tamiasciurus hudsonicus,201.17,-0.372272664,2.303563216,-1.193263348,0.3,0.14232078,Red squirrel
29,29,richardson_ground_squirrel,Rodentia,Sciuridae,Urocitellus,richardsonii,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,URRI,Urocitellus richardsonii,406,-0.369127383,2.608526034,-0.872896716,0,-0.719366852,Richardson's ground squirrel
30,30,rock_squirrel,Rodentia,Sciuridae,Otospermophilus,variegatus,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,OTVA,Otospermophilus variegatus,691.64,-0.36474122,2.839880102,-0.629856846,0,-0.719366852,Rock squirrel
31,31,round_tailed_ground_squirrel,Rodentia,Sciuridae,Xerospermophilus,tereticaudus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,XETE,Xerospermophilus tereticaudus,156.5,-0.372958597,2.194514342,-1.307820331,0,-0.719366852,Round-tailed ground squirrel
32,32,striped_skunk,Carnivora,Mustelidae,Mephitis,mephitis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,MEME,Mephitis mephitis,2085.02,-0.343345082,3.319110225,-0.126420587,0.3,0.14232078,Striped skunk
33,33,tamias_sp,Rodentia,Sciuridae,Tamias,spp,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,16,TASP,Tamias spp,123.59,-0.373463949,2.091983332,-1.41553023,0,-0.719366852,Chipmunk sp.
34,34,virginia_opossum,Didelphimorphia,Didelphidae,Didelphis,virginiana,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,15,DIVI,Didelphis virginiana,2195.48,-0.341648907,3.341529485,-0.102868919,0.3,0.14232078,Opossum
35,35,weasel_sp,Carnivora,Mustelidae,Mustela,spp,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,18,MUSP,Mustela spp,123.42,-0.373466559,2.091385542,-1.416158215,0.966666667,2.057182183,Weasel sp.
36,36,white_tailed_deer,Artiodactyla,Cervidae,Odocoileus,virginianus,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,15,ODVI,Odocoileus virginianus,55508.56,0.47700357,4.744359961,1.370819176,0,-0.719366852,White-tailed deer
37,37,woodchuck,Rodentia,Sciuridae,Marmota,monax,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,10,MAMO,Marmota monax,3801.72,-0.316984184,3.579980128,0.147625976,0,-0.719366852,Woodchuck
