site_index,city_site,city,site,season,Long,Lat,CRS,rich_obs_site,K_days,Impervious,pd_undev,cropland,Kdays_std,imperv_std,pd_undev_std,cropland_std,rich_mean,rich_med,rich_sd,rich_2_5,rich_97_5,rich_5,rich_95,hill1_mean,hill1_med,hill1_sd,hill1_2_5,hill1_97_5,hill1_5,hill1_95,city_name,state_prov,survey_yr,rich_known_reg,rich_obs_reg,x_cent,y_cent,EVI_av,mat_av,urb_reg,date_col,date_col_n,yrs_col,EVI_av_std,mat_av_std,urb_reg_std,yrs_col_std,,,,,,,,,,,,,,,,,,,,,,,,
11,atga_CP,atga,CP,JU19,1063891.141,1284417.055,AEA_Custom_NLCD2016,5,31,26.01917573,8.275247462,0.008020624,0.417726115,0.740406834,0.36894488,-0.411471106,5.7955,6,0.708046526,5,7,5,7,7.195503447,7.179051231,0.393018747,6.481429876,8.028947867,6.582217108,7.866565458,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
12,atga_CTCC,atga,CTCC,JU19,1064260.412,1278209.351,AEA_Custom_NLCD2016,5,31,8.79105761,6.365574971,0,0.417726115,-0.819887846,-0.360758858,-0.553271491,5.8801,6,0.745640388,5,7,5,7,6.888004878,6.850144886,0.493478674,6.017968515,7.95616347,6.141766265,7.766201196,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
13,atga_DHGC,atga,DHGC,JU19,1070674.291,1257026.469,AEA_Custom_NLCD2016,0,25,22.67849986,7.318314878,0,-4.00525628,0.437852675,0.003291981,-0.553271491,3.3353,3,1.286716548,1,6,1,5,7.169309439,7.147830597,0.382002118,6.473989067,7.986778599,6.58054881,7.826320384,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
14,atga_GB,atga,GB,JU19,1062694.444,1278422.326,AEA_Custom_NLCD2016,3,31,6.855670103,6.685768863,0,0.417726115,-0.995169604,-0.238409774,-0.553271491,4.5165,4,0.951534703,3,6,3,6,6.871934107,6.827706935,0.526186563,5.959718632,8.03290064,6.078952925,7.813012868,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
15,atga_HTP,atga,HTP,JU19,1069137.729,1258304.166,AEA_Custom_NLCD2016,4,31,23.44711952,8.911804959,0.011744486,0.417726115,0.507464061,0.612179459,-0.345635213,5.1528,5,0.817630119,4,7,4,7,7.15594777,7.137575912,0.383423249,6.466125483,7.958568375,6.559161163,7.825722825,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
16,atga_JT,atga,JT,JU19,1065391.282,1261027.301,AEA_Custom_NLCD2016,6,31,33.23504151,8.922027849,0,0.417726115,1.393924352,0.616085721,-0.553271491,6.9823,7,0.726112549,6,8,6,8,7.245495735,7.220165563,0.509589799,6.313477872,8.307584126,6.444536668,8.127995436,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
17,atga_KM,atga,KM,JU19,1062148.146,1273876.892,AEA_Custom_NLCD2016,2,29,9.802408948,8.916913474,0.000286615,-1.05660135,-0.728293041,0.614131471,-0.548204288,4.0872,4,1.087342812,2,6,2,6,6.95694246,6.916545701,0.488557393,6.10167989,8.033603774,6.22064778,7.826588107,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
18,atga_KR,atga,KR,JU19,1061628.487,1289207.714,AEA_Custom_NLCD2016,4,31,12.40482343,6.681939672,0.008018328,0.417726115,-0.492600818,-0.239872944,-0.411511713,5.3636,5,0.856894665,4,7,4,7,6.889298621,6.860490548,0.413139726,6.151629955,7.764404794,6.259027418,7.612368935,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
19,atga_LA,atga,LA,JU19,1059294.88,1287272.192,AEA_Custom_NLCD2016,6,31,14.42067583,5.41228908,0.020916905,0.417726115,-0.310031615,-0.725018321,-0.183471702,6.3931,6,0.578624119,6,8,6,7,6.80521883,6.785470645,0.397145753,6.086482071,7.634375316,6.198435487,7.489432869,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
20,atga_MF,atga,MF,JU19,1067994.158,1262300.911,AEA_Custom_NLCD2016,3,31,26.01030338,6.047296222,0.002005156,0.417726115,0.739603294,-0.482376147,-0.517821395,5.4907,5,1.110602023,3,8,4,7,7.13638568,7.114622314,0.417927828,6.373838395,8.017321808,6.487179474,7.850750729,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
21,atga_MNP,atga,MNP,JU19,1067775.16,1258748.957,AEA_Custom_NLCD2016,6,31,21.93365882,8.279991083,0.008025222,0.417726115,0.370394842,0.370757462,-0.411389822,6.2676,6,0.490932115,6,7,6,7,7.132240988,7.114374922,0.368576166,6.465173121,7.908752825,6.5605707,7.781225132,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
22,atga_MVD,atga,MVD,JU19,1063945.682,1266836.491,AEA_Custom_NLCD2016,3,31,24.82736902,7.954690085,0,0.417726115,0.632468773,0.246456905,-0.553271491,4.6422,5,0.969779979,3,7,3,6,7.226878149,7.207382935,0.392980924,6.516459753,8.066748283,6.618481869,7.910450608,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
23,atga_NF,atga,NF,JU19,1063975.346,1299291.232,AEA_Custom_NLCD2016,2,31,4.172107675,3.818251241,0.194158076,0.417726115,-1.238211134,-1.334115103,2.87934026,3.9838,4,1.034526261,2,6,2,6,6.053853279,6.004183428,0.601289154,5.034543914,7.376958833,5.174674163,7.131723674,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
24,atga_PP,atga,PP,JU19,1066493.4,1257127.672,AEA_Custom_NLCD2016,4,30,32.49427262,8.914358485,0.02722063,-0.319437617,1.326835321,0.613155185,-0.07202519,4.9964,5,0.842412017,4,7,4,6,7.084303912,7.060570596,0.48371558,6.190433442,8.099717853,6.326564668,7.909821262,Atlanta,GA,2019,20,9,1063953.066,1277101.767,0.3170924,15.88533047,0.647808145,1837,,182,1.441377661,0.663016011,0.554978151,-0.280949613,,,,,,,,,,,,,,,,,,,,,,,,
