"","species_id","Species","taxon_order","taxon_family","taxon_genus","taxon_species","atga","autx","chil","deco","edal","foco","inin","ioio","maks","mela","naca","phaz","rony","safl","scut","sewa","sfba","slmo","tawa","wide","city_occ","species_code","guild_trophic","group_feeding","guild_t_code","diet","forage_location","forage_behavior","active_period","binomial","mass","mass_g_std","logmass","logmass.std","carn","carn.std","name_common"
"17",17,"javelina","Artiodactyla","Tayassuidae","Pecari","tajacu",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"PETA","Herbivore: ground forager-diurnal","Herbivores",3,"herbivore","ground","forager","diurnal","Pecari tajacu",21266.69,-0.0487996979237167,4.32769990049989,0.933113422191512,0.2,-0.144908430530924,"Javelina"
"18",18,"kit_fox","Carnivora","Canidae","Vulpes","macrotis",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,"VUMA","Carnivore: ground hunter-nocturnal","Carnivores",1,"carnivore","ground","hunter","nocturnal","Vulpes macrotis",4499.97,-0.306262160155083,3.65320961846915,0.224554322303979,0.7,1.29123762205234,"Kit fox"
"19",19,"moose","Artiodactyla","Cervidae","Alces","alces",0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,"ALAL","Grazer","Herbivores",3,"grazer",NA,NA,NA,"Alces alces",356998.16,5.10654678097949,5.5526659777259,2.21995310572082,0,-0.719366851564228,"Moose"
"20",20,"mountain beaver","Rodentia","Aplodontiidae","Aplodontia","rufa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,"APRU","Herbivore: ground forager-nocturnal","Herbivores",3,"herbivore","ground","forager","nocturnal","Aplodontia rufa",1003.99,-0.359944908999914,3.00172938714521,-0.459832478513373,0,-0.719366851564228,"Mountain Beaver"
"21",21,"mule_deer","Artiodactyla","Cervidae","Odocoileus","hemionus",0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,9,"ODHE","Grazer","Herbivores",3,"grazer",NA,NA,NA,"Odocoileus hemionus",54212.57,0.457102910647257,4.73409999592406,1.36004097545585,0,-0.719366851564228,"Mule Deer"
"22",22,"north_american_badger","Carnivora","Mustelidae","Taxidea","taxus",0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,11,"TATA","Carnivore: ground hunter-nocturnal","Carnivores",1,"carnivore","ground","hunter","nocturnal","Taxidea taxus",7107.55,-0.266221295438235,3.85171992353627,0.433091475208949,0.9,1.86569604308564,"Badger"
"23",23,"north_american_beaver","Rodentia","Castoridae","Castor","canadensis",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,17,"CACA","Herbivore: freshwater forager","Herbivores",3,"herbivore","freshwater","forager",NA,"Castor canadensis",21820,-0.0403033101402243,4.33885474625232,0.944831704391123,0,-0.719366851564228,"Beaver"
"24",24,"north_american_mink","Carnivora","Mustelidae","Neovison","vison",1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,14,"NEVI","Carnivore: ground hunter-nocturnal","Carnivores",1,"carnivore","ground","hunter","nocturnal","Neovison vison",1150,-0.357702842924355,3.06069784035361,-0.397885501306662,0.9,1.86569604308564,"Mink"
"25",25,"north_american_porcupine","Rodentia","Erethizontidae","Erethizon","dorsatum",0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,10,"ERDO","Herbivore: ground forager-nocturnal","Herbivores",3,"herbivore","ground","forager","nocturnal","Erethizon dorsatum",7085.33,-0.266562496097086,3.85036008236633,0.431662947829037,0,-0.719366851564228,"Porcupine"
"26",26,"raccoon","Carnivora","Procyonidae","Procyon","lotor",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,"PRLO","Omnivore-nocturnal","Omnivores",4,"omnivore",NA,NA,"nocturnal","Procyon lotor",5524.97,-0.290522705820117,3.74232992419066,0.318176136118135,0.2,-0.144908430530924,"Raccoon"
"27",27,"red_fox","Carnivora","Canidae","Vulpes","vulpes",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19,"VUVU","Carnivore: ground hunter-nocturnal","Carnivores",1,"carnivore","ground","hunter","nocturnal","Vulpes vulpes",5476.17,-0.291272057402114,3.73847692173294,0.314128516714208,0.7,1.29123762205234,"Red fox"
"28",28,"red_squirrel","Rodentia","Sciuridae","Tamiasciurus","hudsonicus",1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,10,"TAHU","Granivore: arboreal forager-diurnal","Granivores",2,"granivore","arboreal","forager","diurnal","Tamiasciurus hudsonicus",201.17,-0.372272663857667,2.30356321591725,-1.19326334777334,0.3,0.142320779985729,"Red squirrel"
"29",29,"richardson_ground_squirrel","Rodentia","Sciuridae","Urocitellus","richardsonii",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,"URRI","Herbivore: ground forager-diurnal","Herbivores",3,"herbivore","ground","forager","diurnal","Urocitellus richardsonii",406,-0.369127383436759,2.60852603357719,-0.87289671635248,0,-0.719366851564228,"Richardson's ground squirrel"
"30",30,"rock_squirrel","Rodentia","Sciuridae","Otospermophilus","variegatus",0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,"OTVA","Herbivore: ground forager-diurnal","Herbivores",3,"herbivore","ground","forager","diurnal","Otospermophilus variegatus",691.64,-0.364741219791647,2.83988010212203,-0.629856846200615,0,-0.719366851564228,"Rock squirrel"
"31",31,"round_tailed_ground_squirrel","Rodentia","Sciuridae","Xerospermophilus","tereticaudus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"XETE","Herbivore: ground forager-diurnal","Herbivores",3,"herbivore","ground","forager","diurnal","Xerospermophilus tereticaudus",156.5,-0.372958596955367,2.19451434188247,-1.30782033115522,0,-0.719366851564228,"Round-tailed ground squirrel"
"32",32,"striped_skunk","Carnivora","Mustelidae","Mephitis","mephitis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,"MEME","Insectivore: ground forager-nocturnal","Insectivores",4,"insectivore","ground","forager","nocturnal","Mephitis mephitis",2085.02,-0.343345082346521,3.31911022518411,-0.126420586728483,0.3,0.142320779985729,"Striped skunk"
"33",33,"tamias_sp","Rodentia","Sciuridae","Tamias","spp",1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,16,"TASP","Granivore: ground forager-diurnal","Granivores",2,"granivore","ground","forager","diurnal","Tamias spp",123.59,-0.373463948606259,2.09198333223731,-1.41553022978564,0,-0.719366851564228,"Chipmunk sp."
"34",34,"virginia_opossum","Didelphimorphia","Didelphidae","Didelphis","virginiana",1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,15,"DIVI","Omnivore-nocturnal","Omnivores",4,"omnivore",NA,NA,"nocturnal","Didelphis virginiana",2195.48,-0.341648906613994,3.34152948519846,-0.102868919463411,0.3,0.142320779985729,"Opossum"
"35",35,"weasel_sp","Carnivora","Mustelidae","Mustela","spp",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,18,"MUSP","Carnivore: ground hunter-diurnal","Carnivores",1,"carnivore","ground","hunter","diurnal","Mustela spp",123.42,-0.373466559052344,2.09138554207837,-1.41615821460355,0.966666666666667,2.05718218343008,"Weasel sp."
"36",36,"white_tailed_deer","Artiodactyla","Cervidae","Odocoileus","virginianus",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,15,"ODVI","Grazer","Herbivores",3,"grazer",NA,NA,NA,"Odocoileus virginianus",55508.56,0.477003569597083,4.74435996103451,1.37081917617604,0,-0.719366851564228,"White-tailed deer"
"37",37,"woodchuck","Rodentia","Sciuridae","Marmota","monax",1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,10,"MAMO","Herbivore: ground forager-diurnal","Herbivores",3,"herbivore","ground","forager","diurnal","Marmota monax",3801.72,-0.316984183559365,3.57998012753919,0.147625975727459,0,-0.719366851564228,"Woodchuck"
